years_experience,age,department,education_level,job_role,performance_score,salary
14.2,23,Operations,Master,Mid,2.7,115459.14
19.7,27,Sales,Master,Junior,2.1,112336.72
1.1,34,Operations,PhD,Director,3.3,136587.14
19.2,32,Operations,Master,Senior,2.8,136779.96
2.7,46,IT,Master,Senior,3.8,113937.99
12.0,46,IT,PhD,Senior,4.5,153930.96
12.9,26,IT,PhD,Mid,4.3,132087.04
10.2,45,HR,Master,Senior,2.6,121988.91
4.2,37,HR,Master,Manager,2.8,111442.61
17.0,25,HR,Bachelor,Senior,3.2,129484.24
5.1,53,Marketing,PhD,Manager,2.4,132527.24
9.7,59,Marketing,Master,Mid,5.0,115089.93
16.7,29,HR,PhD,Mid,4.4,136119.62
8.7,51,Sales,Master,Director,4.6,168382.95
6.2,43,IT,Master,Manager,2.5,130091.32
2.8,41,Operations,PhD,Director,2.6,140778.08
21.0,55,IT,PhD,Senior,3.5,171318.95
21.7,41,HR,Bachelor,Mid,4.6,139686.72
16.9,30,HR,PhD,Manager,4.8,165614.85
13.5,35,Sales,PhD,Mid,4.1,127088.83
8.5,55,Marketing,Bachelor,Mid,2.7,92701.19
5.4,36,IT,Bachelor,Junior,2.7,66465.38
14.9,35,Sales,Bachelor,Director,3.7,163533.72
9.3,28,IT,PhD,Manager,3.1,138329.89
1.7,28,IT,Master,Senior,4.4,96023.32
12.0,30,Marketing,Bachelor,Senior,3.4,108067.98
12.1,22,IT,Bachelor,Mid,3.2,100174.89
19.9,32,Marketing,Bachelor,Manager,2.8,158856.8
9.6,57,Operations,PhD,Manager,2.5,147906.85
16.6,25,IT,PhD,Manager,3.5,169792.65
21.2,27,HR,Bachelor,Director,2.2,179654.28
20.7,58,HR,PhD,Director,2.1,202944.73
6.1,42,HR,Master,Manager,2.4,122159.51
20.5,26,IT,Master,Director,5.0,196821.22
20.6,26,HR,Master,Senior,2.5,153295.14
13.7,55,IT,PhD,Director,2.9,181404.4
6.4,60,HR,PhD,Senior,2.6,122731.54
11.0,25,IT,PhD,Manager,4.5,148805.64
3.3,38,HR,PhD,Manager,3.7,124308.93
2.1,31,Sales,Bachelor,Senior,3.7,83752.47
7.1,24,Finance,Bachelor,Mid,4.0,86138.62
19.3,31,HR,Bachelor,Mid,4.6,131518.36
17.4,28,Marketing,Bachelor,Manager,2.7,149455.32
7.1,36,HR,Bachelor,Mid,3.2,83387.41
17.1,44,Operations,PhD,Manager,4.0,176445.81
1.1,38,HR,PhD,Senior,2.1,95582.79
17.4,49,Sales,PhD,Junior,3.2,131235.18
15.7,22,Sales,PhD,Mid,3.1,125491.69
18.7,41,Sales,Master,Manager,3.0,168027.04
4.6,46,Operations,PhD,Mid,3.8,98698.51
0.5,40,HR,Master,Director,3.8,127814.91
15.0,54,Marketing,PhD,Mid,4.0,135286.2
13.8,27,HR,PhD,Senior,2.7,130724.05
18.8,26,Marketing,Master,Director,2.6,182424.84
5.7,22,IT,Master,Mid,2.5,93009.37
1.6,37,IT,Master,Mid,4.4,100280.47
19.7,54,Marketing,PhD,Manager,4.7,192072.77
6.1,37,Operations,Master,Director,3.5,142825.51
15.8,37,Finance,Master,Senior,4.7,147012.61
5.1,48,Marketing,Master,Director,3.4,143925.44
20.8,23,Sales,Master,Manager,2.0,156783.65
18.8,48,Sales,PhD,Director,4.4,210394.08
6.4,53,IT,Master,Senior,4.0,128747.5
18.6,30,Sales,PhD,Junior,4.7,136341.15
2.3,49,HR,Master,Mid,2.2,77657.66
7.5,46,Finance,Master,Senior,4.5,122838.14
1.6,44,HR,PhD,Junior,4.3,85407.18
20.9,34,IT,PhD,Mid,2.7,149025.14
20.9,51,Operations,Master,Senior,2.5,158699.55
3.0,32,Finance,Bachelor,Director,2.1,118550.75
21.1,47,Operations,Bachelor,Junior,3.8,127865.99
15.5,41,Operations,PhD,Junior,4.4,126021.81
12.0,45,IT,PhD,Senior,2.0,135373.96
9.8,45,Operations,Master,Mid,3.3,98534.17
12.1,52,Marketing,Master,Director,2.8,165036.49
13.6,46,Finance,Bachelor,Manager,4.6,147848.96
17.7,43,Finance,PhD,Senior,3.7,160781.05
5.7,48,Marketing,PhD,Mid,4.1,110256.31
17.5,27,Finance,Bachelor,Manager,4.1,151021.95
10.7,55,Finance,Master,Director,3.0,170199.26
5.9,29,Operations,Bachelor,Senior,2.4,91664.87
4.5,35,Operations,Master,Senior,4.2,112230.07
6.6,28,HR,Master,Mid,3.1,84522.92
3.2,24,IT,PhD,Senior,4.1,109898.24
12.8,52,Marketing,Master,Senior,2.6,130800.88
9.1,26,Sales,PhD,Junior,2.5,88983.75
12.5,48,Sales,PhD,Director,2.7,177531.89
10.0,59,Marketing,Master,Director,3.9,171894.45
20.9,35,Operations,Bachelor,Senior,4.0,145081.6
2.1,22,Marketing,Master,Director,3.4,124015.01
6.6,51,IT,PhD,Mid,4.8,124137.77
14.7,34,Marketing,Bachelor,Director,2.7,157610.07
